trip_id,policy_id,carrier_id,vehicle_id,driver_id,month_id,route_corridor_id,origin_region,destination_region,distance_miles,duration_hours,night_share,avg_speed_mph,hard_brake_rate,overspeed_share,hos_pressure_index,cargo_type,payload_tons,vehicle_age_years,maintenance_risk_score,adas_flag,deductible_usd,coverage_limit_usd,coverage_breadth,premium_month_usd,premium_month_usd_alloc,weather_regime,weather_intensity_z,exposure_hours_in_event,road_flood_risk,heat_stress_index,snow_ice_index,claim_occurred,claim_count,incurred_loss_usd,paid_loss_usd,case_reserve_usd,loss_ratio_trip_equiv,trip_cancelled_flag,scenario_id,night_share_missing_flag,avg_speed_mph_missing_flag,hard_brake_rate_missing_flag,overspeed_share_missing_flag,maintenance_risk_score_missing_flag,payload_tons_missing_flag,sensor_implausible_flag,winsor_candidate_flag,cat_tail_flag,safety_culture_score,maintenance_risk_score_imputed,payload_tons_imputed,hard_brake_rate_imputed,overspeed_share_imputed,night_share_imputed
TRP0000001,POL00001,CAR0001,VEH000004,DRV000003,2024-01,C06,South,Northeast,1128.35,24.57,0.242,67.21,0.065,0.099,0.499,dry_van,20.96,8.2,0.177,0,10000,1000000,physical_damage,799.21,206.21,normal,-0.031,5.12,0.298,0.338,0.138,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.807,0.177,20.96,0.065,0.099,0.242
TRP0000002,POL00002,CAR0002,VEH000010,DRV000023,2024-02,C02,Pacific,Southwest,1047.25,18.5,0.357,56.68,0.067,0.104,0.424,hazmat,10.42,5.5,0.02,0,10000,1000000,physical_damage,983.51,245.58,normal,0.035,0.0,0.143,0.482,0.052,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.471,0.02,10.42,0.067,0.104,0.357
TRP0000003,POL00003,CAR0003,VEH000021,DRV000025,2024-03,C04,Southwest,Midwest,1028.0,22.29,0.412,53.46,0.092,0.035,0.229,refrigerated,9.86,9.5,0.427,0,2500,1000000,broad_form,800.06,220.51,normal,-0.017,0.2,0.159,0.439,0.059,1,1,2969.01,2551.73,417.28,13.4643,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.759,0.427,9.86,0.092,0.035,0.412
TRP0000004,POL00004,CAR0004,VEH000025,DRV000039,2024-04,C01,Pacific,Mountain,831.71,15.39,0.396,53.67,0.054,0.169,0.344,flatbed,22.46,6.8,0.097,0,5000,250000,physical_damage,1028.29,221.24,normal,-0.252,2.47,0.16,0.265,0.085,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,1.074,0.097,22.46,0.054,0.169,0.396
TRP0000005,POL00005,CAR0005,VEH000030,DRV000055,2024-05,C10,Northeast,Midwest,674.53,7.38,0.28,61.86,0.044,0.127,0.312,flatbed,22.11,4.8,0.599,0,2500,500000,broad_form,893.38,191.57,normal,-0.006,0.0,0.2,0.18,0.24,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-0.756,0.599,22.11,0.044,0.127,0.28
TRP0000006,POL00006,CAR0006,VEH000041,DRV000065,2024-06,C01,Pacific,Mountain,881.28,15.54,0.117,57.44,0.117,0.21,0.277,flatbed,22.94,1.3,0.535,1,2500,1000000,broad_form,778.5,200.05,snowstorm,1.186,5.19,0.275,0.351,0.85,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-0.039,0.535,22.94,0.117,0.21,0.117
TRP0000007,POL00007,CAR0007,VEH000045,DRV000073,2024-07,C08,Midwest,South,826.4,13.95,0.25,65.71,0.119,0.06,0.607,dry_van,10.52,6.9,0.734,1,10000,500000,broad_form,701.76,157.63,snowstorm,1.803,4.83,0.384,0.408,0.87,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-1.196,0.734,10.52,0.119,0.06,0.25
TRP0000008,POL00008,CAR0008,VEH000052,DRV000092,2024-08,C07,Midwest,Northeast,802.87,12.97,0.312,65.15,0.104,0.112,0.559,dry_van,14.39,6.3,0.187,1,2500,1000000,physical_damage,680.37,184.86,normal,0.409,4.65,0.253,0.265,0.245,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.667,0.187,14.39,0.104,0.112,0.312
TRP0000009,POL00009,CAR0009,VEH000055,DRV000104,2024-09,C06,South,Northeast,1341.4,21.12,0.267,63.54,0.119,0.218,0.388,dry_van,10.61,5.3,0.278,0,10000,1000000,broad_form,1112.0,296.12,normal,-0.257,3.57,0.279,0.325,0.125,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-0.73,0.278,10.61,0.119,0.218,0.267
TRP0000010,POL00010,CAR0010,VEH000064,DRV000110,2024-10,C03,Mountain,Midwest,1052.7,15.81,0.218,60.08,0.052,0.051,0.285,mixed,15.85,7.6,0.371,1,1000,250000,broad_form,1178.86,259.75,normal,0.207,3.07,0.217,0.272,0.232,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-0.292,0.371,15.85,0.052,0.051,0.218
